"Abyssinian","Ethiopia","Natural/Standard","","Short","Ticked",""
"Aegean","Greece","Natural/Standard","","Semi-long","Bi- or tri-colored",""
"American Curl","United States","Mutation","","Short/Long","All",""
"American Bobtail","United States","Mutation","","Short/Long","All",""
"American Shorthair","United States","Natural","","Short","All but colorpoint",""
"American Wirehair","United States","Mutation","","Rex","All but colorpoint",""
"Arabian Mau","Arabian Peninsula","Natural","","Short","",""
"Australian Mist","Australia","Crossbreed","Moderate","Short","Spotted and Classic tabby",""
"Asian","developed in the United Kingdom (founding stock from Asia)","","","Short","Evenly solid",""
"Asian Semi-longhair","United Kingdom","Crossbreed","","Semi-long","Solid",""
"Balinese","developed in the United States (founding stock from Thailand)","Crossbreed","Oriental","Long","Colorpoint",""
"Bambino","United States","Crossbreed","","Hairless/Furry down","",""
"Bengal","developed in the United States (founding stock from Asia)","Hybrid","","Short","Spotted/Marbled",""
"Birman","Burma","Natural","","Semi Long","Colourpoint",""
"Bombay","developed in the United States (founding stock from Asia)","Crossbred","Moderate","Short","Solid",""
"Brazilian Shorthair","Brazil","Natural","","Short","All",""
"British Semi-longhair","United Kingdom","","Cobby","Medium","All",""
"British Shorthair","United Kingdom","Natural","Cobby","Short","All",""
"British Longhair","United Kingdom","","Cobby","Long","",""
"Burmese","Burma and Thailand","Natural","","Short","Solid",""
"Burmilla","United Kingdom","Crossbreed","","Short/Long","",""
"California Spangled","United States","Crossbreed","","Short","Spotted",""
"Chantilly-Tiffany","United States","","","","",""
"Chartreux","France","Natural","Cobby","Short","Solid",""
"Chausie","France","Hybrid","","Short","Ticked",""
"Cheetoh","United States","Hybrid Crossbreed","","Short","Spotted",""
"Colorpoint Shorthair","","","","Short","",""
"Cornish Rex","United Kingdom (England)","Mutation","","Rex","All",""
"Cymric, or Manx Longhair","United Kingdom (Isle of Man)","Natural/Mutation","","Long","",""
"Cyprus","Cyprus","Natural","Lean and muscular","All","All",""
